# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "4" "-a" "/home/bit/project/yeast_stress/data/Saccharomyces_cerevisiae.R64-1-1.59.gtf" "-o" "/home/bit/project/yeast_stress/results/counts/gene_counts.txt" "/home/bit/project/yeast_stress/results/alignment/SRR636633_sorted.bam" "/home/bit/project/yeast_stress/results/alignment/SRR636634_sorted.bam" "/home/bit/project/yeast_stress/results/alignment/SRR636635_sorted.bam" "/home/bit/project/yeast_stress/results/alignment/SRR636636_sorted.bam" "/home/bit/project/yeast_stress/results/alignment/SRR636637_sorted.bam" "/home/bit/project/yeast_stress/results/alignment/SRR636638_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/bit/project/yeast_stress/results/alignment/SRR636633_sorted.bam	/home/bit/project/yeast_stress/results/alignment/SRR636634_sorted.bam	/home/bit/project/yeast_stress/results/alignment/SRR636635_sorted.bam	/home/bit/project/yeast_stress/results/alignment/SRR636636_sorted.bam	/home/bit/project/yeast_stress/results/alignment/SRR636637_sorted.bam	/home/bit/project/yeast_stress/results/alignment/SRR636638_sorted.bam
YDR158W	IV	770357	771454	+	1098	12216	11295	12641	16996	19303	18527
YDR439W	IV	1339676	1340719	+	1044	383	267	271	385	337	297
YDL206W	IV	90176	92464	+	2289	386	400	363	959	1047	824
YDR125C	IV	701397	702758	-	1362	160	106	120	378	297	262
YDR338C	IV	1147379	1149466	-	2088	501	591	487	775	981	876
YDR526C	IV	1491075	1491545	-	471	0	3	2	0	0	1
YDR533C	IV	1501447	1502160	-	714	278	235	245	12856	9273	9274
YDR272W	IV	1009010	1009834	+	825	769	566	564	1634	1607	1725
YDR197W	IV	851228	852397	+	1170	288	305	253	439	427	443
YDR512C	IV	1470500	1471063	-	564	273	221	226	996	945	925
YDR489W	IV	1431012	1431896	+	885	421	364	338	507	344	315
YDR299W	IV	1059627	1061231	+	1605	1760	1330	1027	60	144	186
YDL015C	IV	426002	426934	-	933	7107	6215	7104	8234	6929	5311
YDR304C	IV	1071880	1072557	-	678	4113	3778	4581	9616	7364	6287
YDR271C	IV	1008395	1008766	-	372	2	0	0	1	2	2
YDL181W	IV	135179	135436	+	258	94	88	97	770	972	936
YDR367W	IV;IV	1212848;1212979	1212877;1213614	+;+	666	1156	936	1067	1187	957	921
YDR085C	IV	614288	616150	-	1863	302	256	289	880	658	702
YDL097C	IV	285391	286695	-	1305	2647	2217	2198	7848	6362	6176
YDL139C	IV	211375	212046	-	672	85	69	53	117	126	115
YDR200C	IV	854279	856093	-	1815	306	265	224	61	481	463
YDR191W	IV	842337	843449	+	1113	125	89	99	141	112	106
YDR451C	IV	1361120	1362181	-	1062	619	697	649	500	376	286
YDR469W	IV	1399015	1399542	+	528	404	323	259	117	296	324
YDR470C	IV	1399706	1401214	-	1509	453	405	428	793	708	565
YDR105C	IV	665349	666770	-	1422	1297	1279	1423	3241	2566	1938
YDR483W	IV	1421157	1422485	+	1329	6581	6048	7184	6327	5363	5101
YDL123W	IV	241418	241840	+	423	625	534	643	1675	1169	956
YDL199C	IV	101290	103353	-	2064	160	171	177	729	654	593
YDR505C	IV	1456695	1459220	-	2526	842	659	845	1551	1904	1699
YDL045W-A	IV	372248	372535	+	288	335	301	217	429	581	499
YDL045C	IV	372688	373608	-	921	491	436	442	1781	1277	1325
YDR361C	IV	1195412	1196263	-	852	2066	1527	1500	292	268	324
YDR406W-A	IV	1283799	1284044	+	246	3	7	15	14	13	16
YDR199W	IV	854175	854540	+	366	10	10	9	7	11	18
YDR266C	IV	1000104	1002023	-	1920	1442	1458	1344	947	1094	1073
YDL242W	IV	18959	19312	+	354	56	35	47	224	166	120
YDR002W	IV	453045	453650	+	606	6925	5426	5368	7452	6240	7184
YDR214W	IV	892875	893927	+	1053	2055	1923	2156	4028	3698	3800
YDR130C	IV	715747	716622	-	876	335	213	217	308	292	318
YDL176W	IV	142097	144223	+	2127	589	496	545	288	508	465
YDR358W	IV	1190059	1191732	+	1674	199	176	125	1333	2095	2092
YDR544C	IV	1525095	1525523	-	429	0	0	0	1	0	0
YDR460W	IV	1383811	1384776	+	966	326	210	248	489	438	460
snR84	IV	1492477	1493026	-	550	317	229	252	164	200	150
YDR034W-B	IV	521314	521469	+	156	13	16	15	73	95	91
YDL028C	IV	400997	403291	-	2295	495	431	413	448	484	500
YDR061W	IV	574164	575783	+	1620	606	601	566	5405	7113	6572
YDR060W	IV	570649	573726	+	3078	4443	3951	2890	148	289	266
YDR169C-A	IV	794574	794723	-	150	6	5	6	14	8	16
YDR363W	IV	1199183	1200553	+	1371	398	343	299	473	517	507
YDR422C	IV	1315326	1317773	-	2448	1345	1185	1328	2058	1494	1543
YDR119W	IV	688227	690533	+	2307	4287	3996	4504	968	842	646
tR(ACG)D	IV	619969	620041	-	73	3	2	3	2	0	3
YDR097C	IV	640109	643837	-	3729	1451	1143	1067	1109	863	650
YDR042C	IV	540601	541203	-	603	48	41	33	122	195	184
YDL160C	IV	170410	171930	-	1521	1140	1318	1331	885	1592	1694
YDR425W	IV	1320064	1321941	+	1878	151	188	186	332	620	649
snR13	IV	1402919	1403042	+	124	6	5	11	9	31	28
YDR228C	IV	921926	923806	-	1881	749	636	568	557	604	507
YDR319C	IV	1105003	1105827	-	825	540	474	469	1114	1137	932
YDR471W	IV;IV	1401770;1402185	1401800;1402564	+;+	411	10844	10829	10163	787	1238	1260
YDR089W	IV	622112	624721	+	2610	1135	932	1051	826	564	432
tD(GUC)D	IV	568964	569035	+	72	1	0	0	0	1	0
YDR275W	IV	1012252	1012959	+	708	366	442	344	72	163	188
YDR043C	IV	542674	543369	-	696	111	144	112	440	501	411
YDR129C	IV;IV	713340;715359	715247;715379	-;-	1929	4371	3957	4380	14716	10155	9756
YDR136C	IV	727711	728283	-	573	12	12	11	19	14	15
YDL066W	IV	334835	336121	+	1287	2564	2306	2751	3981	4270	4203
YDR302W	IV	1067731	1068390	+	660	728	598	710	386	457	469
YDR239C	IV	941057	943420	-	2364	751	556	651	742	436	371
YDR539W	IV	1512094	1513605	+	1512	861	856	826	1637	1299	1130
tK(CUU)D1	IV	1201750	1201822	+	73	1	1	0	0	0	0
YDL125C	IV;IV	239019;239510	239398;239606	-;-	477	2955	2685	3014	4302	3468	2821
YDR493W	IV	1436217	1436588	+	372	168	186	174	544	354	287
YDR101C	IV	655686	657467	-	1782	4250	4331	4256	169	205	164
YDR182W-A	IV	829151	829354	+	204	21	23	24	42	38	30
YDR212W	IV	887232	888911	+	1680	5266	4415	5414	6533	4437	4149
YDR476C	IV	1410453	1411127	-	675	1068	862	976	4827	2852	1820
YDL131W	IV	227393	228715	+	1323	1605	1555	1677	1397	1397	1373
YDR458C	IV	1380055	1382046	-	1992	954	727	736	696	1205	1136
YDR081C	IV	607304	610081	-	2778	951	803	737	622	827	746
YDL071C	IV	330666	331040	-	375	42	30	37	25	30	32
YDR113C	IV	680496	681617	-	1122	328	252	233	540	411	370
YDR168W	IV	790328	791848	+	1521	1147	1174	914	1915	2293	2504
YDR520C	IV	1481085	1483403	-	2319	491	417	391	345	411	355
YDR307W	IV	1075865	1077853	+	1989	958	1044	1085	1926	1930	1411
YDR265W	IV	998864	999877	+	1014	339	296	283	1074	823	695
YDL076C	IV	320668	321552	-	885	576	482	511	1025	963	892
YDL006W	IV	439909	440754	+	846	618	523	539	1433	1100	1113
YDL086W	IV	301413	302234	+	822	441	414	420	784	803	660
YDR238C	IV	937895	940816	-	2922	5931	5678	6023	6566	5534	5045
YDR077W	IV	600793	601809	+	1017	20104	23450	25682	62128	35282	32248
YDR381C-A	IV;IV	1238312;1238825	1238630;1238850	-;-	345	151	106	77	245	216	246
YDL023C	IV	411761	412081	-	321	3	4	0	5	3	5
YDL083C	IV;IV	306926;307766	307333;307789	-;-	432	25755	23381	24602	1273	2088	3092
YDR036C	IV	523211	524713	-	1503	1049	911	1051	2677	1986	1724
YDR057W	IV	565927	567555	+	1629	624	574	577	936	866	885
YDR513W	IV	1471017	1471448	+	432	992	992	979	25464	25201	22634
YDR487C	IV	1428354	1428980	-	627	2577	2032	2551	21488	17995	15181
YDR066C	IV	581908	582498	-	591	221	156	172	501	421	379
YDR352W	IV	1181801	1182754	+	954	1313	1184	1348	1288	1015	889
YDR278C	IV	1017001	1017318	-	318	1	0	0	6	3	6
YDR079C-A	IV	603593	603811	-	219	220	147	128	210	197	152
YDR204W	IV	858137	859144	+	1008	457	364	418	3451	2247	1936
YDL247W-A	IV	3762	3836	+	75	1	1	2	3	4	1
YDL024C	IV	408451	409857	-	1407	40	53	34	435	369	308
tA(AGC)D	IV	410379	410451	+	73	0	0	0	0	0	0
YDR109C	IV	673520	675667	-	2148	504	515	424	606	678	604
YDR466W	IV	1395121	1397817	+	2697	659	485	562	863	744	716
YDR427W	IV	1322205	1323386	+	1182	1738	2208	1966	4087	5378	4742
YDL044C	IV	373967	375289	-	1323	202	169	148	138	262	284
YDL079C	IV;IV	312951;314337	314044;314748	-;-	1506	305	357	274	439	420	334
YDR193W	IV	844554	844952	+	399	1	4	2	1	3	2
YDR305C	IV;IV	1072746;1073402	1073312;1073488	-;-	654	255	195	168	526	419	374
YDR377W	IV	1228611	1228916	+	306	719	728	679	1371	1609	1449
YDR219C	IV	905455	906852	-	1398	346	269	266	256	372	429
YDR416W	IV	1298432	1301011	+	2580	731	537	514	731	644	674
YDR365C	IV	1204497	1206383	-	1887	2425	3959	2270	127	1858	2136
YDL233W	IV	36797	38173	+	1377	186	175	189	374	398	392
YDR287W	IV	1035995	1036873	+	879	379	248	296	1342	871	863
YDR448W	IV	1356065	1357369	+	1305	563	435	507	387	340	418
YDR180W	IV	821295	825776	+	4482	923	781	938	407	502	360
tF(GAA)D	IV;IV	1095370;1095425	1095405;1095461	-;-	73	1	1	2	9	8	7
tT(AGU)D	IV	434264	434336	-	73	1	0	0	2	1	0
YDR294C	IV	1050459	1052228	-	1770	2071	1954	2303	7783	5756	5109
YDR198C	IV	852533	853972	-	1440	598	518	525	272	317	296
YDL163W	IV	166956	167258	+	303	0	0	0	0	0	0
YDL119C	IV	246689	247612	-	924	82	110	92	285	268	240
YDR501W	IV	1451353	1452918	+	1566	246	242	230	1005	885	718
YDL214C	IV	74446	76545	-	2100	148	110	149	347	289	215
YDR264C	IV	996029	998323	-	2295	5059	4453	4798	16155	12338	8924
YDR343C	IV	1159608	1161320	-	1713	21	17	20	35	42	27
YDR373W	IV	1222759	1223331	+	573	798	741	762	1078	1405	1423
YDR354W	IV	1184747	1185889	+	1143	1327	1312	1298	2527	2108	1820
YDR246W	IV	954288	954947	+	660	327	267	241	766	585	549
YDR428C	IV	1323454	1324239	-	786	694	562	584	698	557	528
YDR157W	IV	769931	770332	+	402	59	34	45	15	15	15
YDR316W	IV	1093763	1095178	+	1416	344	261	211	181	526	513
YDL142C	IV	201719	202570	-	852	252	266	236	1259	1073	937
YDR253C	IV	963990	964565	-	576	220	217	186	229	198	110
YDL112W	IV	258915	263225	+	4311	4024	3156	3584	637	541	447
YDR545W	IV	1526321	1531711	+	5391	20	13	13	14	9	14
YDL187C	IV	125509	125838	-	330	1	2	1	1	1	0
YDL138W	IV	213351	215642	+	2292	709	617	623	995	942	793
YDR528W	IV	1494586	1495857	+	1272	419	401	374	212	328	240
YDR284C	IV	1030550	1031419	-	870	1537	1361	1542	3721	2586	2039
YDR050C	IV	555726	556472	-	747	80860	72801	77761	122795	112042	102386
YDL010W	IV	432330	433025	+	696	219	166	192	457	317	278
YDL065C	IV	336249	337277	-	1029	406	378	330	143	810	926
YDR349C	IV	1172386	1174176	-	1791	3773	3425	3680	3755	3243	2623
YDL098C	IV	284581	285165	-	585	117	101	63	66	169	152
YDL234C	IV	34237	36477	-	2241	617	593	487	2508	2005	2123
YDR118W	IV	685882	687840	+	1959	385	399	366	642	481	486
YDR118W-A	IV	687768	687884	+	117	14	8	3	9	7	7
YDR159W	IV	771877	775782	+	3906	1023	791	759	693	748	733
YDR111C	IV	678241	679764	-	1524	926	678	773	513	433	417
YDR128W	IV	709549	712995	+	3447	1522	1157	1544	1804	1506	1205
YDL034W	IV	391783	392127	+	345	17	28	13	4	23	19
YDR065W	IV	580687	581784	+	1098	395	302	289	436	413	331
YDL004W	IV	443029	443511	+	483	971	934	922	2316	2507	2214
YDR024W	IV	491017	491502	+	486	15	19	38	2	6	11
YDL171C	IV	149203	155640	-	6438	6959	5319	6799	644	1064	1198
YDR083W	IV	612073	613251	+	1179	1678	1200	1111	83	96	131
YDR457W	IV	1369790	1379596	+	9807	4790	3399	4658	3557	2510	2027
YDR014W	IV	474046	475989	+	1944	252	198	205	130	328	320
YDR206W	IV	862054	864708	+	2655	2891	2486	2609	1624	1325	1115
YDR478W	IV	1414575	1415171	+	597	272	168	195	96	156	167
YDR169C	IV	792348	793889	-	1542	455	463	483	815	1098	1000
YDR115W	IV	682175	682492	+	318	306	326	311	701	733	593
YDL159W-A	IV	172182	172313	+	132	2	1	2	0	1	1
YDL232W	IV	38487	38597	+	111	398	388	416	331	539	366
YDL240C-A	IV	22471	22608	-	138	3	1	1	3	4	2
tE(CUC)D	IV	1017207	1017278	-	72	0	0	0	0	0	0
YDL152W	IV	182822	183187	+	366	0	2	2	0	0	0
YDR432W	IV	1328783	1330027	+	1245	2553	2309	2630	4536	4142	4108
YDL022C-A	IV	409808	410056	-	249	1	0	1	18	11	8
YDL114W-A	IV	254935	255048	+	114	1	1	2	4	2	4
YDR410C	IV	1292372	1293091	-	720	1431	1096	1293	2926	1898	1483
YDR464C-A	IV	1392492	1392680	-	189	0	0	0	0	0	0
YDL072C	IV	329836	330447	-	612	2526	2358	2531	17477	11839	8921
YDR053W	IV	560249	560644	+	396	1	5	2	0	5	4
YDL012C	IV;IV	431108;431473	431386;431517	-;-	324	637	682	630	864	1076	1092
YDR482C	IV	1420431	1420838	-	408	220	183	188	150	140	136
YDL070W	IV	331024	332940	+	1917	1313	1630	1195	206	2014	1923
YDR064W	IV;IV	579458;580018	579478;580452	+;+	456	36498	30262	34229	4151	6565	8502
YDL135C	IV	218680	219288	-	609	1135	777	801	1816	1481	1617
YDL077C	IV	316971	320120	-	3150	663	552	559	815	704	650
YDR354C-A	IV	1185139	1185282	-	144	0	0	0	0	0	0
YDL033C	IV	392659	393912	-	1254	269	208	266	316	230	201
YDL031W	IV	394217	397204	+	2988	2898	2313	1919	310	350	266
YDR398W	IV	1267471	1269402	+	1932	2638	2978	2883	224	356	285
YDR326C	IV	1120609	1124925	-	4317	3197	2747	3068	1564	1361	1106
YDL052C	IV	362672	363583	-	912	1732	1735	1860	1879	1461	1181
YDR536W	IV	1508005	1509714	+	1710	121	153	127	273	284	172
YDR397C	IV;IV	1266366;1266862	1266769;1266898	-;-	441	20	16	21	15	29	19
YDL116W	IV	251566	253746	+	2181	1615	1470	1310	1825	1482	1631
YDR028C	IV	497835	500879	-	3045	2396	1671	1664	5056	3590	3563
YDL007W	IV	438047	439360	+	1314	3038	2233	2194	5799	5874	5725
YDR236C	IV	935236	935892	-	657	640	588	567	1928	1514	1290
YDR011W	IV	465919	470424	+	4506	6012	5519	6080	15685	19928	19544
YDR155C	IV	768512	769000	-	489	14620	14329	15988	21890	20268	16731
YDR414C	IV	1295598	1296686	-	1089	903	848	930	629	552	504
YDR026C	IV	492556	494268	-	1713	699	579	462	443	544	563
YDL073W	IV	326613	329567	+	2955	1586	1521	1712	1197	1294	1127
tY(GUA)D	IV;IV	946312;946365	946350;946400	+;+	75	1	1	0	0	1	1
YDL115C	IV;IV	253995;255045	254974;255126	-;-	1062	371	274	279	1301	1011	1032
YDL145C	IV	194571	198176	-	3606	8279	8437	9790	7403	9318	7433
YDR203W	IV	857682	857999	+	318	0	0	1	3	1	0
YDL104C	IV	273653	274876	-	1224	155	143	151	265	242	221
YDL149W	IV	184925	187918	+	2994	258	204	209	1017	819	749
YDR231C	IV	926293	926910	-	618	119	88	94	525	283	265
YDR045C	IV	547978	548310	-	333	665	540	536	138	220	201
YDL075W	IV;IV	322226;322704	322282;322988	+;+	342	20168	15381	15099	2083	4937	8072
YDR415C	IV	1297037	1298161	-	1125	560	509	573	1075	901	675
YDR339C	IV	1149951	1150520	-	570	905	665	640	254	370	378
YDL213C	IV	77289	77966	-	678	960	864	648	40	152	209
YDR096W	IV	637139	639823	+	2685	376	380	445	595	851	750
YDL019C	IV	417663	421514	-	3852	1588	1170	1564	3695	2400	2318
YDL022W	IV	411825	413000	+	1176	931	1101	1050	6470	7634	7745
YDR413C	IV	1294836	1295411	-	576	2	3	5	0	0	0
YDR391C	IV	1257358	1258056	-	699	284	301	202	2670	2062	1750
YDR091C	IV	626708	628534	-	1827	6151	6285	6457	704	731	608
YDR240C	IV	943674	945152	-	1479	444	335	331	363	317	325
YDL244W	IV	16204	17226	+	1023	12	18	16	78	47	33
YDR179C	IV	818708	819196	-	489	21	63	18	0	22	35
YDL165W	IV	164290	164865	+	576	611	614	537	1646	1290	1218
YDL140C	IV	205360	210561	-	5202	8958	7790	8997	9655	7307	5485
YDR120C	IV	691549	693261	-	1713	2884	2487	2354	115	151	110
YDR003W	IV	454122	454754	+	633	337	254	310	3219	3168	3260
YDR499W	IV	1447830	1450073	+	2244	394	343	288	186	402	436
YDR166C	IV	786306	789221	-	2916	969	836	870	1569	1393	1279
YDL092W	IV	292781	293221	+	441	971	784	659	798	824	824
YDL041W	IV	378102	378455	+	354	0	1	5	0	1	1
YDL241W	IV	20635	21006	+	372	344	267	251	166	121	110
YDL082W	IV;IV	308424;308793	308427;309388	+;+	600	14582	12184	12268	982	1547	1930
YDR277C	IV	1014401	1015702	-	1302	153	160	158	315	225	160
YDR291W	IV	1039728	1042961	+	3234	905	752	709	1142	783	766
YDR475C	IV	1407464	1410094	-	2631	542	503	501	1558	1443	1497
YDR244W	IV	950563	952401	+	1839	487	364	356	1071	847	960
YDR407C	IV	1284069	1287938	-	3870	1404	1343	1445	1388	1854	1580
YDR382W	IV	1239492	1239824	+	333	32352	23752	25314	7141	10592	12887
YDR102C	IV	657648	657980	-	333	19	22	20	29	26	14
YDL188C	IV	123865	124998	-	1134	990	959	1170	1294	1201	937
YDR405W	IV	1277646	1278437	+	792	205	199	159	433	430	403
YDR443C	IV	1345676	1349938	-	4263	586	389	581	967	659	555
YDR059C	IV;IV	569234;569724	569633;569770	-;-	447	207	182	199	1926	1325	903
YDR144C	IV	744311	746101	-	1791	3941	3319	3903	721	463	306
YDL157C	IV	174232	174588	-	357	1064	914	1113	484	664	524
YDL058W	IV	345665	351037	+	5373	1931	1786	1963	697	1603	1461
YDL096C	IV	286998	287324	-	327	4	4	8	3	8	1
YDL155W	IV	176773	178056	+	1284	758	666	664	484	433	356
YDR147W	IV	751631	753235	+	1605	578	478	504	333	268	267
YDL191W	IV;IV	117664;118158	117666;118517	+;+	363	6064	4114	4386	1573	1754	2482
YDL128W	IV	232652	233887	+	1236	3324	2890	3494	5625	3897	3153
YDR310C	IV	1081128	1084316	-	3189	1579	1365	1571	766	635	584
YDL160C-A	IV	169366	169608	-	243	234	135	123	188	146	173
YDR127W	IV	704484	709250	+	4767	5957	5257	6177	11573	10435	9538
YDR497C	IV	1443713	1445467	-	1755	6387	7249	8030	3175	3589	3386
YDL162C	IV	167359	167715	-	357	7	9	5	12	2	5
tS(AGA)D3	IV	1305630	1305712	+	83	0	0	0	0	0	0
YDR201W	IV	856317	856814	+	498	268	213	232	205	232	217
YDR163W	IV	781423	781950	+	528	172	151	126	97	287	334
YDL146W	IV	192750	194225	+	1476	471	449	453	2270	1905	1607
YDR363W-A	IV	1202128	1202397	+	270	708	550	486	310	1242	1367
YDL221W	IV	62011	62562	+	552	63	39	46	88	47	33
YDL089W	IV	296820	298274	+	1455	364	377	359	926	1060	878
YDR385W	IV	1243230	1245758	+	2529	13345	10763	12874	2131	2296	2767
YDR331W	IV	1129588	1130823	+	1236	1018	960	951	593	691	685
YDR196C	IV	850274	850999	-	726	599	385	422	1206	876	1027
YDR116C	IV	682724	683581	-	858	449	388	351	819	660	602
YDR001C	IV	450220	452475	-	2256	1176	1048	986	14657	10325	10091
YDL230W	IV	42700	43707	+	1008	281	222	220	1170	676	604
YDR160W	IV	776163	778721	+	2559	967	826	799	1371	1049	1050
YDR123C	IV	698554	699468	-	915	332	296	287	142	111	82
YDR322W	IV	1110589	1111692	+	1104	498	541	484	1135	933	901
YDR040C	IV	535192	538467	-	3276	291	232	295	193	154	99
YDR025W	IV;IV	491515;491899	491559;492324	+;+	471	14682	12708	13840	935	1560	2020
YDR046C	IV	548762	550576	-	1815	2147	2017	2211	1664	1888	1568
YDL057W	IV	351434	352420	+	987	124	114	119	676	502	469
YDL248W	IV	1802	2953	+	1152	154	171	183	369	358	287
YDR008C	IV	462252	462602	-	351	34	29	38	39	37	34
YDR029W	IV	501100	501414	+	315	62	59	76	145	113	77
YDR485C	IV	1424820	1427207	-	2388	498	370	304	298	648	639
YDR408C	IV	1288215	1288859	-	645	2013	1756	1800	1586	1370	1312
YDR038C	IV	527422	530697	-	3276	409	252	342	257	127	103
YDL204W	IV	94605	95786	+	1182	204	194	205	4230	2550	2929
YDR019C	IV	484163	485365	-	1203	983	941	1090	558	470	400
YDR477W	IV	1412373	1414274	+	1902	1118	1158	1101	1941	1858	1760
YDR254W	IV	965113	966489	+	1377	362	305	312	575	447	451
YDR514C	IV	1471548	1472999	-	1452	414	347	290	302	244	221
YDR296W	IV	1055212	1055892	+	681	342	284	272	1408	909	818
YDL216C	IV	68997	70319	-	1323	218	176	151	771	535	550
YDL100C	IV	282112	283176	-	1065	5326	4933	5290	9307	8409	7854
YDL068W	IV	333500	333829	+	330	2	2	0	5	2	5
YDL026W	IV	404749	405060	+	312	2	0	2	5	3	3
YDL124W	IV	240259	241197	+	939	1117	969	900	29516	21829	19513
YDL227C	IV	46271	48031	-	1761	1094	1034	836	84	65	49
YDL111C	IV	263313	264110	-	798	1243	1219	1344	1076	1045	950
YDR324C	IV	1114433	1116763	-	2331	2997	2488	2486	197	175	120
YDL170W	IV	156318	157904	+	1587	463	446	448	533	752	942
YDR317W	IV	1102184	1103428	+	1245	221	236	225	432	339	305
YDR436W	IV	1334821	1336953	+	2133	489	434	527	1789	1328	1171
YDR208W	IV	868224	870563	+	2340	1231	1123	1052	1168	1047	972
YDR386W	IV	1246084	1247982	+	1899	289	247	186	337	399	363
YDR504C	IV	1456311	1456694	-	384	46	51	50	56	69	56
YDL220C	IV	62244	65018	-	2775	352	343	319	557	426	317
YDR396W	IV	1266295	1266795	+	501	65	72	56	21	33	53
YDR258C	IV	971808	974243	-	2436	415	449	414	2706	6693	10084
YDR176W	IV	814452	816560	+	2109	710	579	478	531	794	837
YDL099W	IV	283419	284444	+	1026	651	553	445	291	1323	1630
YDR380W	IV	1234218	1236125	+	1908	733	758	810	4024	5145	4084
YDL110C	IV	264512	264964	-	453	136	136	123	1101	997	1078
YDR148C	IV	753675	755066	-	1392	1288	1104	1166	5266	3969	3796
YDL201W	IV	99561	100421	+	861	1434	1124	1085	184	192	152
YDL107W	IV	268921	269976	+	1056	158	145	91	215	403	466
YDR515W	IV	1473429	1474772	+	1344	208	230	127	76	516	450
YDR133C	IV	720962	721297	-	336	4745	5130	5771	5771	4274	3845
YDR378C	IV	1229349	1229609	-	261	1164	921	895	1158	854	825
YDR473C	IV	1404445	1405854	-	1410	241	215	188	104	393	483
YDR403W	IV	1274602	1276212	+	1611	117	89	123	678	450	352
YDR268W	IV	1004004	1005143	+	1140	343	350	369	1075	615	602
YDR409W	IV	1289406	1292120	+	2715	546	509	533	574	547	537
YDR173C	IV	810565	811632	-	1068	223	246	192	400	390	331
YDR187C	IV	836228	836746	-	519	16	11	23	16	31	20
YDR389W	IV	1252537	1254501	+	1965	1173	843	1096	745	874	779
YDR417C	IV	1301555	1301926	-	372	6	14	13	4	2	5
YDR165W	IV	784871	786205	+	1335	2503	2386	2346	195	358	402
YDL113C	IV	256633	258555	-	1923	333	305	246	927	1394	1431
YDR426C	IV	1321629	1322006	-	378	0	0	1	0	3	1
YDR521W	IV	1483141	1483476	+	336	2	3	3	2	7	1
YDR086C	IV	616928	617170	-	243	2666	1952	1873	1610	1483	1544
YDL021W	IV	413953	414888	+	936	50	52	43	1814	1742	1599
YDR023W	IV	489508	490896	+	1389	11347	9266	9412	3870	4651	5958
YDR394W	IV	1261681	1262967	+	1287	2619	2573	2248	8253	7040	6206
YDR320C-A	IV	1108280	1108498	-	219	210	165	123	130	204	160
YDR003W-A	IV	454782	454904	+	123	84	75	73	871	732	859
YDR183W	IV	829585	830277	+	693	284	185	142	506	376	434
YDR245W	IV	952800	953981	+	1182	3041	2176	2687	1882	1464	1322
YDR431W	IV	1328390	1328701	+	312	2	0	3	1	2	2
YDL154W	IV	178334	181039	+	2706	329	198	217	344	330	322
YDL184C	IV	130407	130484	-	78	7657	5051	5492	4385	5416	5630
YDR153C	IV	766736	767971	-	1236	718	537	519	643	662	814
YDR014W-A	IV	477797	478285	+	489	6	2	4	26	21	15
YDR434W	IV	1331237	1332841	+	1605	1941	1843	1999	1885	2123	1942
YDL002C	IV	446967	447578	-	612	488	303	270	516	570	702
YDR225W	IV	915530	915928	+	399	8555	8706	8805	987	830	819
YDR418W	IV	1301616	1302113	+	498	5582	5050	6019	516	885	1107
YDR224C	IV	914317	914712	-	396	7493	7532	6397	1243	1614	1556
